,UserID
335,3825794119
336,3899860175
337,3899910148
338,3899907556
339,3474825562
340,3423376798
341,3899840723
342,3899778501
343,3899899708
344,3899773047
345,3899788635
346,3825776539
347,3825771373
348,3825569598
349,3825628152
350,3825689534
351,3899894890
352,3825762259
353,3899750181
354,3899817545
355,3825613092
356,3899775645
357,3899802202
358,3899758095
359,3899792375
360,3899733615
361,3899810189
362,3825740533
363,3899752899
364,3824354359
365,3825475056
366,3825563592
367,3825453374
368,3899710341
369,2357474803
370,3825713119
371,3825591852
372,3899768483
373,3899702667
374,3899775695
375,3899676201
376,3899721749
377,3825637273
378,3899749763
379,3899764295
380,3899770354
381,3899807188
382,776106
383,3899803168
384,3899807302
385,3825601514
386,3825533832
387,3899789122
388,3899211075
389,3899808202
390,3899687295
391,3899794948
392,3899774902
393,3825622999
394,3899715803
395,3825510312
396,3313685313
397,3899656755
398,3825606019
399,2344862713
400,3899739898
401,3290082868
402,3686018897
403,3899762896
404,3899685107
405,3825485604
406,3899611407
407,3825562394
408,3889771636
409,3825542132
410,3899756428
411,1119367718
412,3899667742
413,3899724862
414,3825449892
415,3899599095
416,2749858248
417,3825597913
418,3899585121
419,3899668709
420,3899603357
421,135626245
422,3602865913
423,3899635589
424,3825504272
425,3825552733
426,3899649701
427,3825433710
428,3899613941
429,3792449294
430,3899695768
431,3825492434
432,3899664886
433,3825565699
434,3825422598
435,3899582205
436,3602453174
437,3825534559
438,3823375692
439,1147197642
440,3899684122
441,3899547119
442,3825393090
443,3899610137
444,3899556507
445,3899546559
446,3825451160
447,3898579336
448,3666978081
449,3825483973
450,3825443894
451,3366231526
452,1338981523
453,3899644462
454,3899618320
455,3899652856
456,3899588135
457,3899543139
458,3899507385
459,3825364392
460,3899598149
461,3825453380
462,3899556029
463,3899663428
464,3899651896
465,3825416894
466,3825369612
467,3825332112
468,3899442393
469,3899580641
470,3899366067
471,3899588117
472,3825444325
473,3899647366
474,3825470053
475,3832845495
476,3825447373
477,1092488220
478,3825384374
479,3899507397
480,157654370
481,1142055038
482,3825238034
483,197435971
484,3899491461
485,348333907
486,3825415693
487,3677200101
488,3888689417
489,3899564356
490,3899462601
491,3825368354
492,3899591986
493,3899291481
494,3899504909
495,3899548588
496,3899460915
497,3825257778
498,3825345494
499,3899444715
500,3899563588
501,3825364939
502,3899501117
503,3703459280
504,3825229512
505,3899534026
506,3899468429
507,3899400813
508,3825354919
509,3825218832
510,3899454982
511,3825259454
512,3899456477
513,3825349333
514,3899519782
515,3825294914
