,UserID,location,newyork
163,1426695296.0,London~Seychelles~Dubai,0
164,16015020.0,"Brooklyn, NY",1
165,868708776.0,"New York, New York ",1
166,2822147853.0,Chicago far far North Suburbs,0
167,347443669.0,Boston/New York,1
168,238597368.0,Los Angeles,0
169,1268582528.0,"New York, NY",1
170,454913604.0,None,0
171,22292141.0,She Do Believe in Shooting Stars,0
172,19543018.0,"New York, New York",1
173,722435246.0,"Brooklyn,NY | Athens,OH ",1
174,34058844.0,New York City,1
175,733198500.0,None,0
176,26673044.0,New York City,1
177,2232054954.0,New York,1
178,1375152264.0,None,0
179,1447508653.0,"New York, New York",1
180,80499526.0,"Brooklyn, NY",1
181,2879037839.0,None,0
182,2650136870.0,None,0
183,3108705376.0,None,0
184,10239142.0,"Park Slope - Brooklyn, NY",1
185,10636482.0,"New York, NY",1
